Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,8,Path,Path1,[Object],Costs,TotalCost,Total,0
Scenario1,9,Path,Path1,[Object],Costs,TotalCost,Total,0
Scenario1,10,Path,Path1,[Object],Costs,TotalCost,Total,0
Scenario1,1,Path,Path1,[Travelers],Content,NumberAccumulated,Average,0
Scenario1,2,Path,Path1,[Travelers],Content,NumberAccumulated,Average,0
Scenario1,3,Path,Path1,[Travelers],Content,NumberAccumulated,Average,0
Scenario1,4,Path,Path1,[Travelers],Content,NumberAccumulated,Average,0
Scenario1,5,Path,Path1,[Travelers],Content,NumberAccumulated,Average,0
Scenario1,6,Path,Path1,[Travelers],Content,NumberAccumulated,Average,0
Scenario1,7,Path,Path1,[Travelers],Content,NumberAccumulated,Average,0
Scenario1,8,Path,Path1,[Travelers],Content,NumberAccumulated,Average,0
Scenario1,9,Path,Path1,[Travelers],Content,NumberAccumulated,Average,0
Scenario1,10,Path,Path1,[Travelers],Content,NumberAccumulated,Average,0
Scenario1,1,Path,Path1,[Travelers],Content,NumberAccumulated,Maximum,1
Scenario1,2,Path,Path1,[Travelers],Content,NumberAccumulated,Maximum,1
Scenario1,3,Path,Path1,[Travelers],Content,NumberAccumulated,Maximum,1
Scenario1,4,Path,Path1,[Travelers],Content,NumberAccumulated,Maximum,1
Scenario1,5,Path,Path1,[Travelers],Content,NumberAccumulated,Maximum,1
Scenario1,6,Path,Path1,[Travelers],Content,NumberAccumulated,Maximum,1
Scenario1,7,Path,Path1,[Travelers],Content,NumberAccumulated,Maximum,1
Scenario1,8,Path,Path1,[Travelers],Content,NumberAccumulated,Maximum,1
Scenario1,9,Path,Path1,[Travelers],Content,NumberAccumulated,Maximum,1
Scenario1,10,Path,Path1,[Travelers],Content,NumberAccumulated,Maximum,1
Scenario1,1,Path,Path1,[Travelers],Content,NumberAccumulated,Minimum,0
Scenario1,2,Path,Path1,[Travelers],Content,NumberAccumulated,Minimum,0
Scenario1,3,Path,Path1,[Travelers],Content,NumberAccumulated,Minimum,0
Scenario1,4,Path,Path1,[Travelers],Content,NumberAccumulated,Minimum,0
Scenario1,5,Path,Path1,[Travelers],Content,NumberAccumulated,Minimum,0
Scenario1,6,Path,Path1,[Travelers],Content,NumberAccumulated,Minimum,0
Scenario1,7,Path,Path1,[Travelers],Content,NumberAccumulated,Minimum,0
Scenario1,8,Path,Path1,[Travelers],Content,NumberAccumulated,Minimum,0
Scenario1,9,Path,Path1,[Travelers],Content,NumberAccumulated,Minimum,0
Scenario1,10,Path,Path1,[Travelers],Content,NumberAccumulated,Minimum,0
Scenario1,1,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.251096643518458
Scenario1,2,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.257911328408152
Scenario1,3,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.25207696759253
Scenario1,4,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.254394097222161
Scenario1,5,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.258538194444382
Scenario1,6,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.2497598379629
Scenario1,7,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.250962962962905
Scenario1,8,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.248824074074012
Scenario1,9,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.250740162036976
Scenario1,10,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.259974057994388
Scenario1,1,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,4
Scenario1,2,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,4
Scenario1,3,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,4
Scenario1,4,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,5
Scenario1,5,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,5
Scenario1,6,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,4
Scenario1,7,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,5
Scenario1,8,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,5
Scenario1,9,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,4
Scenario1,10,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,4
Scenario1,1,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0
Scenario1,2,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0
Scenario1,3,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0
Scenario1,4,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0
Scenario1,5,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0
Scenario1,6,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0
Scenario1,7,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0
Scenario1,8,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0
Scenario1,9,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0
Scenario1,10,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0
Scenario1,1,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Average,0
Scenario1,2,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Average,0
Scenario1,3,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Average,0
Scenario1,4,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Average,0
Scenario1,5,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Average,0
Scenario1,6,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Average,0
Scenario1,7,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Average,0
Scenario1,8,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Average,0
Scenario1,9,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Average,0
Scenario1,10,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Average,0
Scenario1,1,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Maximum,1
Scenario1,2,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Maximum,1
Scenario1,3,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Maximum,1
Scenario1,4,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Maximum,1
Scenario1,5,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Maximum,1
Scenario1,6,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Maximum,1
Scenario1,7,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Maximum,1
Scenario1,8,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Maximum,1
Scenario1,9,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Maximum,1
Scenario1,10,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Maximum,1
Scenario1,1,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Minimum,0
Scenario1,2,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Minimum,0
Scenario1,3,Path,Path1,[Travelers],EntryQueue,NumberWaiting,Minimum,0
